time(s),mls0_(m),mls1_(m),V(m/s),W(rad/s)
1614597168.771468,-0.03200000151991844,0.07999999821186066,-0.09657303813278814,-0.20912707575341516
1614597168.821394,-0.027000000700354576,0.07699999958276749,-0.10059821708911094,-0.20969630997805616
1614597168.871496,-0.023000000044703484,0.07500000298023224,-0.1048424421026601,-0.2139372494067032
1614597168.921409,-0.01899999938905239,0.07199999690055847,-0.10954509877789761,-0.2154068408981606
1614597168.971474,-0.014999999664723873,0.0689999982714653,-0.1137526990898484,-0.2143426227990088
1614597169.021395,-0.009999999776482582,0.06599999964237213,-0.11858183223617945,-0.21451326825252393
1614597169.071513,-0.006000000052154064,0.06300000101327896,-0.12273911744658,-0.2074597011025763
1614597169.121436,0.0,0.05900000035762787,-0.1276861348720371,-0.20611065614002733
1614597169.171499,0.004000000189989805,0.054999999701976776,-0.1297849113847215,-0.1956779549199497
1614597169.221425,0.00800000037997961,0.050999999046325684,-0.1286507471032521,-0.17259115990665153
1614597169.271483,0.013000000268220901,0.04800000041723251,-0.1279166343894945,-0.15206590574824094
1614597169.321424,0.017000000923871994,0.04399999976158142,-0.12632560392111175,-0.13124125344532708
1614597169.371479,0.020999999716877937,0.04100000113248825,-0.1253767685702995,-0.11673402558959184
1614597169.42141,0.024000000208616257,0.039000000804662704,-0.12495734811753546,-0.10403495510596751
1614597169.471486,0.027000000700354576,0.03700000047683716,-0.12461115520282472,-0.09538717574855995
1614597169.521432,0.028999999165534973,0.03400000184774399,-0.12413653979286599,-0.08700777493078785
1614597169.571451,0.03099999949336052,0.032999999821186066,-0.12509120241538138,-0.08080572178120236
1614597169.621414,0.032999999821186066,0.03099999949336052,-0.12622645305388663,-0.07793383300132822
1614597169.671474,0.03500000014901161,0.029999999329447746,-0.13190737627483765,-0.07711463807082845
1614597169.721412,0.035999998450279236,0.02800000086426735,-0.1384423565757953,-0.0767035475507673
1614597169.771485,0.03700000047683716,0.027000000700354576,-0.14288284042950627,-0.07691346117915894
1614597169.82141,0.039000000804662704,0.026000000536441803,-0.14737110368305895,-0.0769640074453548
1614597169.871495,0.039000000804662704,0.02500000037252903,-0.15190613686140492,-0.07684832746966622
1614597169.921444,0.03999999910593033,0.023000000044703484,-0.15648691480101223,-0.076559564542153
1614597169.971465,0.04100000113248825,0.02199999988079071,-0.16111248627845084,-0.07609087255471242
1614597170.021409,0.041999999433755875,0.020999999716877937,-0.16717665742444224,-0.07275679526181567
1614597170.071485,0.0430000014603138,0.019999999552965164,-0.1718948101589169,-0.0717587582624613
1614597170.121415,0.04399999976158142,0.017999999225139618,-0.17583463805871624,-0.06986667988527476
1614597170.171487,0.04500000178813934,0.017000000923871994,-0.18063190581590213,-0.06847734179890196
1614597170.221411,0.04500000178813934,0.01600000075995922,-0.18688164879442468,-0.06353616867220442
1614597170.271492,0.04600000008940697,0.014999999664723873,-0.1909365731087364,-0.06096877065570956
1614597170.321418,0.04600000008940697,0.013000000268220901,-0.19585264550582954,-0.05877317510216773
1614597170.371466,0.04600000008940697,0.012000000104308128,-0.1999721770632902,-0.055822331778873524
1614597170.421418,0.04699999839067459,0.010999999940395355,-0.2063899359300862,-0.04916912495837906
1614597170.471442,0.04699999839067459,0.009999999776482582,-0.21058115939153726,-0.04568502853205264
1614597170.521428,0.04699999839067459,0.00800000037997961,-0.21480016159278312,-0.042011208509922654
1614597170.571471,0.04699999839067459,0.007000000216066837,-0.22049328545157987,-0.033652850355084744
1614597170.621394,0.04699999839067459,0.006000000052154064,-0.224775129140923,-0.02945307159595172
1614597170.671481,0.04699999839067459,0.004000000189989805,-0.22908350167356048,-0.025054559448500442
1614597170.721412,0.04699999839067459,0.003000000026077032,-0.23341807006753643,-0.02045493163270674
1614597170.771498,0.04699999839067459,0.0020000000949949026,-0.2377785047992909,-0.015651867796493624
1614597170.821447,0.04699999839067459,0.0010000000474974513,-0.24216446386707496,-0.010643133044991203
1614597170.871485,0.04600000008940697,0.0,-0.24570569269625314,-0.005380572411563354
1614597170.921384,0.04600000008940697,-0.0010000000474974513,-0.2501376166788342,-0.0
1614597170.971491,0.04500000178813934,-0.0020000000949949026,-0.25002042201784463,0.01093379825155017
1614597171.021433,0.04500000178813934,-0.003000000026077032,-0.25201637924558595,0.010966050499911449
1614597171.071451,0.04399999976158142,-0.003000000026077032,-0.2523921229974858,0.016365729094961073
1614597171.121424,0.0430000014603138,-0.004000000189989805,-0.2526819089170355,0.021701403798293658
1614597171.171451,0.041999999433755875,-0.004999999888241291,-0.25455285643659936,0.02175088077461114
1614597171.22142,0.04100000113248825,-0.004999999888241291,-0.2547043888361371,0.027021761394162465
1614597171.271488,0.039000000804662704,-0.006000000052154064,-0.2547668712584294,0.03221346508057056
1614597171.321437,0.03799999877810478,-0.007000000216066837,-0.25370036665548135,0.03697394628762807
1614597171.371501,0.035999998450279236,-0.00800000037997961,-0.2553740645428627,0.03702255206540293
1614597171.42143,0.03500000014901161,-0.008999999612569809,-0.25409675346335664,0.04158244251831237
1614597171.471512,0.032999999821186066,-0.008999999612569809,-0.25378406469402576,0.04638935966438484
1614597171.521414,0.03099999949336052,-0.009999999776482582,-0.2541806696575646,0.045962341352077926
1614597171.571493,0.029999999329447746,-0.009999999776482582,-0.2525388914863458,0.05009433194447101
1614597171.621454,0.02800000086426735,-0.009999999776482582,-0.25276934029274745,0.049588160016518924
1614597171.671487,0.026000000536441803,-0.010999999940395355,-0.2520786956962185,0.05399097023902662
1614597171.72144,0.024000000208616257,-0.010999999940395355,-0.2521604217133509,0.05340297416304957
1614597171.771515,0.023000000044703484,-0.010999999940395355,-0.25341811857723107,0.05336467782473528
1614597171.821431,0.020999999716877937,-0.009999999776482582,-0.2555404814414476,0.048457141745624766
1614597171.871519,0.019999999552965164,-0.010999999940395355,-0.2567517071789411,0.04840617047802338
1614597171.921417,0.01899999938905239,-0.010999999940395355,-0.2544190796376398,0.05204761218363038
1614597171.971483,0.017999999225139618,-0.010999999940395355,-0.25552403027988263,0.051966452974754405
